user_id,item_id,clicked,purchased,watch_time,skip_after_seconds,rewatched,session_id,timestamp
U0001,P00226,0,0,60.9,45.57,0,S00001,2025-08-26 11:30:31.845633
U0001,P00380,1,0,34.82,8.11,0,S00002,2025-09-13 11:30:31.845667
U0001,P00358,1,0,109.98,98.95,0,S00003,2025-09-14 11:30:31.845691
U0001,P00250,1,0,52.08,28.83,0,S00004,2025-09-09 11:30:31.845713
U0001,P00244,1,0,164.56,137.9,0,S00005,2025-09-06 11:30:31.845735
U0001,P00312,0,1,107.96,17.16,0,S00006,2025-09-04 11:30:31.845757
U0001,P00268,0,1,259.39,179.67,0,S00007,2025-08-24 11:30:31.845778
U0001,P00493,0,0,204.89,46.05,0,S00008,2025-09-19 11:30:31.845799
U0001,P00348,1,0,63.77,48.05,0,S00009,2025-08-24 11:30:31.845820
U0001,P00470,1,0,285.97,6.29,0,S00010,2025-09-12 11:30:31.845841
U0001,P00038,1,1,77.15,14.7,0,S00011,2025-09-08 11:30:31.845862
U0001,P00496,0,0,159.22,149.56,0,S00012,2025-08-25 11:30:31.845883
U0001,P00206,1,0,125.89,61.13,1,S00013,2025-09-08 11:30:31.845904
U0002,P00004,1,0,22.32,20.63,0,S00014,2025-09-10 11:30:31.846269
U0002,P00432,1,0,147.09,134.03,0,S00015,2025-09-01 11:30:31.846292
U0002,P00278,0,0,257.17,138.37,0,S00016,2025-09-13 11:30:31.846313
U0002,P00070,1,0,106.9,1.77,0,S00017,2025-09-13 11:30:31.846334
U0002,P00124,0,0,298.39,41.44,0,S00018,2025-09-16 11:30:31.846355
U0002,P00184,1,0,280.84,41.64,0,S00019,2025-08-28 11:30:31.846376
U0002,P00125,0,0,256.61,81.76,0,S00020,2025-09-07 11:30:31.846399
U0002,P00025,1,0,53.01,13.31,0,S00021,2025-08-24 11:30:31.846421
U0002,P00246,1,0,11.96,11.44,1,S00022,2025-09-22 11:30:31.846442
U0002,P00180,1,0,63.29,9.35,0,S00023,2025-09-06 11:30:31.846464
U0002,P00282,0,0,73.14,20.72,0,S00024,2025-09-07 11:30:31.846486
U0002,P00270,1,0,78.55,41.45,1,S00025,2025-08-29 11:30:31.846506
U0002,P00073,1,0,118.76,59.75,0,S00026,2025-09-12 11:30:31.846527
U0003,P00014,1,0,212.65,44.12,0,S00027,2025-09-08 11:30:31.847011
U0003,P00165,0,0,124.08,102.78,0,S00028,2025-08-24 11:30:31.847039
U0003,P00248,1,1,91.15,10.43,0,S00029,2025-09-21 11:30:31.847063
U0003,P00477,1,0,296.95,63.85,0,S00030,2025-09-02 11:30:31.847085
U0003,P00109,1,0,10.36,8.3,0,S00031,2025-09-19 11:30:31.847107
U0003,P00387,1,0,77.61,8.43,0,S00032,2025-09-05 11:30:31.847129
U0003,P00259,1,0,166.45,15.33,0,S00033,2025-09-14 11:30:31.847150
U0003,P00305,1,0,174.79,72.62,1,S00034,2025-09-22 11:30:31.847172
U0003,P00265,1,1,203.11,95.6,0,S00035,2025-08-30 11:30:31.847193
U0003,P00170,1,0,19.19,5.9,0,S00036,2025-09-01 11:30:31.847214
U0004,P00352,1,0,239.56,205.69,0,S00037,2025-09-07 11:30:31.847583
U0004,P00328,1,0,199.59,46.82,0,S00038,2025-08-28 11:30:31.847606
U0004,P00270,0,0,81.05,76.57,1,S00039,2025-09-04 11:30:31.847627
U0004,P00091,1,0,34.23,26.09,0,S00040,2025-09-19 11:30:31.847648
U0004,P00400,1,0,164.83,62.42,0,S00041,2025-09-16 11:30:31.847669
U0004,P00463,1,0,270.68,235.79,0,S00042,2025-09-03 11:30:31.847695
U0004,P00341,1,1,193.38,49.34,0,S00043,2025-09-17 11:30:31.847716
U0004,P00345,0,0,97.91,93.88,0,S00044,2025-09-02 11:30:31.847737
U0004,P00001,1,1,74.99,27.11,0,S00045,2025-08-31 11:30:31.847757
U0004,P00490,0,0,25.93,20.65,0,S00046,2025-08-25 11:30:31.847778
